tx_id,time,target,action,status,object,state,attempts,notes,collected_at
1776308254274-4-2116927255,2026-04-16 04:57 CEST,RAPID,Data Publish,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:39
1776214801036-453-1458056422,2026-04-16 04:15 CEST,POTS,Generate Export,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:39
1776275415187-34-1742534769,2026-04-16 03:50 CEST,ODC,MCN Planned Date Update From ODC System,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:39
1776246614167-392-1903177770,2026-04-15 19:50 CEST,ODC,MCN Planned Date Update From ODC System,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:39
1776263478259-13-109267890,2026-04-15 16:31 CEST,RAPID,Data Publish,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:39
1776263167489-12-951263486,2026-04-15 16:26 CEST,RAPID,Data Publish,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:39
1776262142055-11-1627617354,2026-04-15 16:09 CEST,RAPID,Data Publish,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:39
1776261904279-10-899677857,2026-04-15 16:05 CEST,RAPID,Data Publish,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:39
1776261780585-9-2011857616,2026-04-15 16:03 CEST,RAPID,Data Publish,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:39
1776248540027-3-947934414,2026-04-15 12:22 CEST,RAPID,Data Publish,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:39
1776235464684-4-930476711,2026-04-15 08:44 CEST,RAPID,Data Publish,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:39
1776235058908-8-1017357033,2026-04-15 08:37 CEST,RAPID,Data Publish,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:39
1776215568154-5-1929837093,2026-04-15 04:16 CEST,RAPID,Data Publish,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:39
1776215598100-7-1736800985,2026-04-15 04:16 CEST,RAPID,Data Publish,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:39
1776128401050-255-1458056422,2026-04-15 04:16 CEST,POTS,Generate Export,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:39
1776215587383-6-2009498324,2026-04-15 04:16 CEST,RAPID,Data Publish,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:39
1776178674291-7-102121324,2026-04-14 16:57 CEST,RAPID,Data Publish,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:39
1777040443167-797-1548054214,2026-04-24 16:20 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1777040411993-785-1548054214,2026-04-24 16:20 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1777034827712-745-1548054214,2026-04-24 14:47 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1777034858003-756-1548054214,2026-04-24 14:47 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1777034858002-755-1548054214,2026-04-24 14:47 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1777034858003-757-1548054214,2026-04-24 14:47 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1777034827713-747-1548054214,2026-04-24 14:47 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1777034827710-738-1548054214,2026-04-24 14:47 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1777034827711-742-1548054214,2026-04-24 14:47 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1777034827712-744-1548054214,2026-04-24 14:47 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1777034827712-746-1548054214,2026-04-24 14:47 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1777034827713-750-1548054214,2026-04-24 14:47 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1777034827711-740-1548054214,2026-04-24 14:47 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1777034827713-749-1548054214,2026-04-24 14:47 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1777034827711-741-1548054214,2026-04-24 14:47 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1777034858002-753-1548054214,2026-04-24 14:47 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1777034827713-748-1548054214,2026-04-24 14:47 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1777034827711-739-1548054214,2026-04-24 14:47 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1777034858002-754-1548054214,2026-04-24 14:47 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1777034827711-743-1548054214,2026-04-24 14:47 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1777034827713-751-1548054214,2026-04-24 14:47 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1777033456915-702-1548054214,2026-04-24 14:24 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1777033456916-706-1548054214,2026-04-24 14:24 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1777033456915-703-1548054214,2026-04-24 14:24 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1777033456915-704-1548054214,2026-04-24 14:24 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1777033456916-705-1548054214,2026-04-24 14:24 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1777033288573-690-1548054214,2026-04-24 14:21 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1777033288571-684-1548054214,2026-04-24 14:21 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1777033288572-686-1548054214,2026-04-24 14:21 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1777033288571-685-1548054214,2026-04-24 14:21 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1777033288571-683-1548054214,2026-04-24 14:21 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1777033288572-687-1548054214,2026-04-24 14:21 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1777033288573-691-1548054214,2026-04-24 14:21 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1777033288571-681-1548054214,2026-04-24 14:21 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1777033288572-689-1548054214,2026-04-24 14:21 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1777033288573-693-1548054214,2026-04-24 14:21 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1777033288573-694-1548054214,2026-04-24 14:21 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1777033288571-682-1548054214,2026-04-24 14:21 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1777033288572-688-1548054214,2026-04-24 14:21 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1777033288573-692-1548054214,2026-04-24 14:21 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1776906001038-472-1202124232,2026-04-24 05:03 CEST,POTS,Generate Export,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1776906938990-3-574740405,2026-04-23 05:00 CEST,RAPID,Data Publish,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1776819601040-176-1202124232,2026-04-23 05:00 CEST,POTS,Generate Export,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1776733201037-208-226604059,2026-04-22 06:09 CEST,POTS,Generate Export,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1776773419033-6-508128486,2026-04-21 14:10 CEST,ODC,MCN Planned Date Update From ODC System,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1776736232052-148-89944594,2026-04-21 11:50 CEST,ODC,MCN Planned Date Update From ODC System,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1776646801032-4-226604059,2026-04-21 06:10 CEST,POTS,Generate Export,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1776707431298-8-532844354,2026-04-21 03:50 CEST,ODC,MCN Planned Date Update From ODC System,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1776678629048-98-89944594,2026-04-20 19:50 CEST,ODC,MCN Planned Date Update From ODC System,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1776693201114-31-725727101,2026-04-20 15:53 CEST,RAPID,Data Collection,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1776693176547-30-2117030749,2026-04-20 15:52 CEST,RAPID,Data Collection,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1776691115461-5-508128486,2026-04-20 15:18 CEST,ODC,MCN Planned Date Update From ODC System,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1776688843114-4-508128486,2026-04-20 14:40 CEST,ODC,MCN Planned Date Update From ODC System,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1776686762311-14-1386263152,2026-04-20 14:06 CEST,ODC,MCN Planned Date Update From ODC System,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1776686094997-13-1386263152,2026-04-20 13:54 CEST,ODC,MCN Planned Date Update From ODC System,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1776685921814-21-201494151,2026-04-20 13:52 CEST,ODC,MCN Planned Date Update From ODC System,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1776685684030-20-201494151,2026-04-20 13:48 CEST,ODC,MCN Planned Date Update From ODC System,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1776685121164-3-508128486,2026-04-20 13:38 CEST,ODC,MCN Planned Date Update From ODC System,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1776649828163-3-532844354,2026-04-20 11:50 CEST,ODC,MCN Planned Date Update From ODC System,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1776621027209-3-89944594,2026-04-20 03:50 CEST,ODC,MCN Planned Date Update From ODC System,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1776592226034-16-1198570251,2026-04-19 19:50 CEST,ODC,MCN Planned Date Update From ODC System,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1776563425032-93-276621850,2026-04-19 11:50 CEST,ODC,MCN Planned Date Update From ODC System,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1776534624032-15-1198570251,2026-04-19 03:50 CEST,ODC,MCN Planned Date Update From ODC System,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1776505823032-92-276621850,2026-04-18 19:50 CEST,ODC,MCN Planned Date Update From ODC System,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1776477022043-14-1198570251,2026-04-18 11:50 CEST,ODC,MCN Planned Date Update From ODC System,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1776387601060-72-1433824918,2026-04-18 04:17 CEST,POTS,Generate Export,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1776448221047-13-1198570251,2026-04-18 03:50 CEST,ODC,MCN Planned Date Update From ODC System,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1776419420035-78-276621850,2026-04-17 19:50 CEST,ODC,MCN Planned Date Update From ODC System,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1776390619178-4-276621850,2026-04-17 11:50 CEST,ODC,MCN Planned Date Update From ODC System,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1776301201051-589-1458056422,2026-04-17 04:20 CEST,POTS,Generate Export,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1776361818228-3-1198570251,2026-04-17 03:50 CEST,ODC,MCN Planned Date Update From ODC System,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1776333017258-487-1903177770,2026-04-16 19:50 CEST,ODC,MCN Planned Date Update From ODC System,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1776329165099-9-1521724965,2026-04-16 10:46 CEST,RAPID,Data Publish,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1776322436694-5-1327780673,2026-04-16 08:53 CEST,RAPID,Data Publish,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1776322344089-4-556889780,2026-04-16 08:52 CEST,RAPID,Data Publish,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1776319918890-3-1262549859,2026-04-16 08:12 CEST,RAPID,Data Publish,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1776318346482-8-616685759,2026-04-16 07:46 CEST,RAPID,Data Publish,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1776308412767-7-163885414,2026-04-16 05:00 CEST,RAPID,Data Publish,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1776308259259-5-973786215,2026-04-16 04:57 CEST,RAPID,Data Publish,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1776308263164-6-1690505747,2026-04-16 04:57 CEST,RAPID,Data Publish,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1776308254274-4-2116927255,2026-04-16 04:57 CEST,RAPID,Data Publish,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1776214801036-453-1458056422,2026-04-16 04:15 CEST,POTS,Generate Export,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1776275415187-34-1742534769,2026-04-16 03:50 CEST,ODC,MCN Planned Date Update From ODC System,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1776246614167-392-1903177770,2026-04-15 19:50 CEST,ODC,MCN Planned Date Update From ODC System,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1776263478259-13-109267890,2026-04-15 16:31 CEST,RAPID,Data Publish,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1776263167489-12-951263486,2026-04-15 16:26 CEST,RAPID,Data Publish,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1776262142055-11-1627617354,2026-04-15 16:09 CEST,RAPID,Data Publish,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1776261904279-10-899677857,2026-04-15 16:05 CEST,RAPID,Data Publish,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1776261780585-9-2011857616,2026-04-15 16:03 CEST,RAPID,Data Publish,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1776248540027-3-947934414,2026-04-15 12:22 CEST,RAPID,Data Publish,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1776235464684-4-930476711,2026-04-15 08:44 CEST,RAPID,Data Publish,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1776235058908-8-1017357033,2026-04-15 08:37 CEST,RAPID,Data Publish,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1776215568154-5-1929837093,2026-04-15 04:16 CEST,RAPID,Data Publish,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1776215598100-7-1736800985,2026-04-15 04:16 CEST,RAPID,Data Publish,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:59:52
1777040443168-800-1548054214,2026-04-24 16:20 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 03:00:29
1777040411994-788-1548054214,2026-04-24 16:20 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 03:00:29
1777040411994-787-1548054214,2026-04-24 16:20 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 03:00:29
1777040411994-791-1548054214,2026-04-24 16:20 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 03:00:29
1777040411995-795-1548054214,2026-04-24 16:20 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 03:00:29
1777040411993-783-1548054214,2026-04-24 16:20 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 03:00:29
1777040443168-801-1548054214,2026-04-24 16:20 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 03:00:29
1777040443167-797-1548054214,2026-04-24 16:20 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 03:00:29
1777040411993-785-1548054214,2026-04-24 16:20 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 03:00:29
1777034827712-745-1548054214,2026-04-24 14:47 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 03:00:29
1777034858003-756-1548054214,2026-04-24 14:47 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 03:00:29
1777034858002-755-1548054214,2026-04-24 14:47 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 03:00:29
1777034858003-757-1548054214,2026-04-24 14:47 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 03:00:29
1777034827713-747-1548054214,2026-04-24 14:47 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 03:00:29
1777034827710-738-1548054214,2026-04-24 14:47 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 03:00:29
1777034827711-742-1548054214,2026-04-24 14:47 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 03:00:29
1777034827712-744-1548054214,2026-04-24 14:47 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 03:00:29
1777034827712-746-1548054214,2026-04-24 14:47 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 03:00:29
1777034827713-750-1548054214,2026-04-24 14:47 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 03:00:29
1777034827711-740-1548054214,2026-04-24 14:47 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 03:00:29
1777034827713-749-1548054214,2026-04-24 14:47 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 03:00:29
1777034827711-741-1548054214,2026-04-24 14:47 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 03:00:29
1777034858002-753-1548054214,2026-04-24 14:47 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 03:00:29
1777034827713-748-1548054214,2026-04-24 14:47 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 03:00:29
1777034827711-739-1548054214,2026-04-24 14:47 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 03:00:29
1777034858002-754-1548054214,2026-04-24 14:47 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 03:00:29
1777034827711-743-1548054214,2026-04-24 14:47 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 03:00:29
1777034827713-751-1548054214,2026-04-24 14:47 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 03:00:29
1777033456915-702-1548054214,2026-04-24 14:24 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 03:00:29
1777033456916-706-1548054214,2026-04-24 14:24 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 03:00:29
1777033456915-703-1548054214,2026-04-24 14:24 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 03:00:29
1777033456915-704-1548054214,2026-04-24 14:24 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 03:00:29
1777033456916-705-1548054214,2026-04-24 14:24 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 03:00:29
1777033288573-690-1548054214,2026-04-24 14:21 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 03:00:29
1777033288571-684-1548054214,2026-04-24 14:21 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 03:00:29
1777033288572-686-1548054214,2026-04-24 14:21 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 03:00:29
1777033288571-685-1548054214,2026-04-24 14:21 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 03:00:29
1777033288571-683-1548054214,2026-04-24 14:21 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 03:00:29
1777033288572-687-1548054214,2026-04-24 14:21 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 03:00:29
1777033288573-691-1548054214,2026-04-24 14:21 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 03:00:29
1777033288571-681-1548054214,2026-04-24 14:21 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 03:00:29
1777033288572-689-1548054214,2026-04-24 14:21 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 03:00:29
1777033288573-693-1548054214,2026-04-24 14:21 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 03:00:29
1777033288573-694-1548054214,2026-04-24 14:21 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 03:00:29
1777033288571-682-1548054214,2026-04-24 14:21 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 03:00:29
1777033288572-688-1548054214,2026-04-24 14:21 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 03:00:29
1777033288573-692-1548054214,2026-04-24 14:21 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 03:00:29
1776906001038-472-1202124232,2026-04-24 05:03 CEST,POTS,Generate Export,Failed,N/A,N/A,N/A,N/A,2026-06-13 03:00:29
1776906938990-3-574740405,2026-04-23 05:00 CEST,RAPID,Data Publish,Failed,N/A,N/A,N/A,N/A,2026-06-13 03:00:29
1776819601040-176-1202124232,2026-04-23 05:00 CEST,POTS,Generate Export,Failed,N/A,N/A,N/A,N/A,2026-06-13 03:00:29
1776733201037-208-226604059,2026-04-22 06:09 CEST,POTS,Generate Export,Failed,N/A,N/A,N/A,N/A,2026-06-13 03:00:29
1776773419033-6-508128486,2026-04-21 14:10 CEST,ODC,MCN Planned Date Update From ODC System,Failed,N/A,N/A,N/A,N/A,2026-06-13 03:00:29
1776736232052-148-89944594,2026-04-21 11:50 CEST,ODC,MCN Planned Date Update From ODC System,Failed,N/A,N/A,N/A,N/A,2026-06-13 03:00:29
1776646801032-4-226604059,2026-04-21 06:10 CEST,POTS,Generate Export,Failed,N/A,N/A,N/A,N/A,2026-06-13 03:00:29
1776707431298-8-532844354,2026-04-21 03:50 CEST,ODC,MCN Planned Date Update From ODC System,Failed,N/A,N/A,N/A,N/A,2026-06-13 03:00:29
1776678629048-98-89944594,2026-04-20 19:50 CEST,ODC,MCN Planned Date Update From ODC System,Failed,N/A,N/A,N/A,N/A,2026-06-13 03:00:29
1776693201114-31-725727101,2026-04-20 15:53 CEST,RAPID,Data Collection,Failed,N/A,N/A,N/A,N/A,2026-06-13 03:00:29
1776693176547-30-2117030749,2026-04-20 15:52 CEST,RAPID,Data Collection,Failed,N/A,N/A,N/A,N/A,2026-06-13 03:00:29
1776691115461-5-508128486,2026-04-20 15:18 CEST,ODC,MCN Planned Date Update From ODC System,Failed,N/A,N/A,N/A,N/A,2026-06-13 03:00:29
1776688843114-4-508128486,2026-04-20 14:40 CEST,ODC,MCN Planned Date Update From ODC System,Failed,N/A,N/A,N/A,N/A,2026-06-13 03:00:29
1776686762311-14-1386263152,2026-04-20 14:06 CEST,ODC,MCN Planned Date Update From ODC System,Failed,N/A,N/A,N/A,N/A,2026-06-13 03:00:29
1776686094997-13-1386263152,2026-04-20 13:54 CEST,ODC,MCN Planned Date Update From ODC System,Failed,N/A,N/A,N/A,N/A,2026-06-13 03:00:29
1776685921814-21-201494151,2026-04-20 13:52 CEST,ODC,MCN Planned Date Update From ODC System,Failed,N/A,N/A,N/A,N/A,2026-06-13 03:00:29
1776685684030-20-201494151,2026-04-20 13:48 CEST,ODC,MCN Planned Date Update From ODC System,Failed,N/A,N/A,N/A,N/A,2026-06-13 03:00:29
